product_type,firm_size,firm_platform,account_team_rank,industry_type,procurement_locus,tech_savvy,industry_position,deal_size,meeting_count,internal_champion_score,bargaining_power_score,geography,ceo_education,firm_age_years,outcome
ERP,medium,Oracle,high,traditional_manufacturing,procurement_driven,tech_savvy,follower,31146,2,5,4,US,high_school,13,NO SALE
CRM,large,IBM,high,healthcare,LOB_driven,unknown,follower,150000,2,4,2,US,bsc,87,NO SALE
ERP,small,Oracle,average,healthcare,LOB_driven,tech_savvy,follower,150000,3,2,2,Europe,mba,23,NO SALE
DSC,medium,SAP,low,automotive,centralized,tech_savvy,leader,112575,4,1,4,ROW,bsc,13,NO SALE
ERP,medium,Oracle,average,healthcare,procurement_driven,unknown,leader,30000,2,3,4,Europe,high_school,26,NO SALE
CRM,large,IBM,average,tech,centralized,naive,leader,150000,2,3,6,Europe,bsc,22,SALE
CRM,medium,Oracle,high,traditional_manufacturing,LOB_driven,unknown,follower,49727,2,3,5,US,mba,35,NO SALE
CRM,small,IBM,high,tech,LOB_driven,naive,follower,45724,2,5,4,Europe,bsc,2,NO SALE
ERP,medium,SAP,high,automotive,procurement_driven,tech_savvy,leader,52044,1,3,4,ROW,bsc,23,NO SALE
CRM,medium,SAP,average,tech,procurement_driven,naive,follower,86005,1,3,3,US,bsc,21,NO SALE
DSC,large,IBM,average,automotive,LOB_driven,unknown,follower,150000,3,4,4,US,bsc,22,NO SALE
CRM,small,IBM,low,tech,LOB_driven,tech_savvy,leader,31703,3,2,3,US,high_school,6,NO SALE
DSC,medium,SAP,high,automotive,procurement_driven,unknown,follower,30000,3,3,5,Europe,high_school,26,NO SALE
CRM,large,Oracle,average,tech,procurement_driven,unknown,leader,147338,2,6,4,US,bsc,39,NO SALE
CRM,large,IBM,average,automotive,LOB_driven,unknown,follower,34045,1,4,4,US,mba,72,NO SALE
CRM,medium,IBM,low,tech,LOB_driven,unknown,leader,30000,1,2,5,ROW,bsc,17,NO SALE
ERP,large,IBM,average,tech,centralized,unknown,leader,150000,2,2,4,Europe,mba,29,NO SALE
CRM,small,IBM,high,tech,LOB_driven,tech_savvy,leader,79443,2,3,4,US,high_school,11,NO SALE
ERP,medium,Oracle,average,tech,centralized,unknown,leader,50632,1,3,6,US,bsc,23,NO SALE
DSC,medium,SAP,high,automotive,centralized,naive,leader,76814,1,3,5,Europe,bsc,28,SALE
ERP,large,Oracle,high,traditional_manufacturing,centralized,unknown,follower,150000,2,4,2,US,bsc,19,SALE
CRM,medium,SAP,low,tech,LOB_driven,unknown,follower,48276,2,1,3,US,bsc,12,NO SALE
CRM,medium,Oracle,average,healthcare,centralized,unknown,follower,30000,2,4,3,US,bsc,9,NO SALE
CRM,medium,SAP,high,traditional_manufacturing,centralized,unknown,follower,36163,2,3,4,US,bsc,35,SALE
CRM,medium,Oracle,average,traditional_manufacturing,procurement_driven,unknown,follower,96887,3,2,4,US,bsc,27,NO SALE
DSC,medium,IBM,average,automotive,procurement_driven,unknown,leader,102508,6,2,3,Europe,bsc,17,NO SALE
DSC,large,Oracle,high,traditional_manufacturing,centralized,unknown,leader,86493,1,3,4,US,bsc,28,NO SALE
CRM,large,Oracle,low,tech,LOB_driven,unknown,follower,71802,2,1,4,US,bsc,41,NO SALE
ERP,medium,IBM,average,healthcare,centralized,tech_savvy,leader,70000,3,3,4,US,bsc,15,NO SALE
CRM,medium,IBM,average,traditional_manufacturing,LOB_driven,unknown,follower,30000,2,3,5,Europe,bsc,32,NO SALE
CRM,medium,SAP,low,healthcare,LOB_driven,naive,follower,32420,4,4,3,Europe,bsc,17,NO SALE
CRM,large,IBM,average,tech,LOB_driven,naive,leader,32648,5,2,3,US,mba,38,NO SALE
ERP,large,IBM,average,healthcare,LOB_driven,unknown,follower,41568,2,5,5,Europe,bsc,23,NO SALE
ERP,large,SAP,high,traditional_manufacturing,procurement_driven,unknown,leader,150000,1,4,3,ROW,high_school,16,SALE
CRM,medium,Oracle,high,healthcare,centralized,naive,leader,150000,1,5,3,ROW,bsc,21,NO SALE
CRM,small,SAP,average,healthcare,LOB_driven,naive,follower,30849,1,3,2,Europe,high_school,4,NO SALE
CRM,small,SAP,average,tech,centralized,tech_savvy,follower,41320,1,3,3,Europe,mba,6,NO SALE
CRM,medium,IBM,low,tech,centralized,naive,follower,83337,1,2,4,US,bsc,14,NO SALE
CRM,medium,IBM,average,tech,LOB_driven,naive,follower,52196,1,2,2,ROW,mba,8,NO SALE
CRM,medium,Oracle,average,tech,procurement_driven,naive,follower,101069,2,4,4,US,mba,13,NO SALE
DSC,medium,Oracle,low,automotive,centralized,unknown,follower,150000,3,2,2,ROW,bsc,33,NO SALE
DSC,medium,SAP,average,tech,centralized,tech_savvy,follower,80006,2,2,4,Europe,mba,11,NO SALE
CRM,large,IBM,average,healthcare,procurement_driven,naive,follower,65489,1,3,6,US,mba,46,NO SALE
DSC,medium,IBM,average,traditional_manufacturing,LOB_driven,unknown,follower,89557,5,2,3,Europe,bsc,54,NO SALE
CRM,medium,Oracle,low,traditional_manufacturing,centralized,unknown,follower,73702,1,2,2,US,bsc,43,NO SALE
ERP,small,Oracle,average,traditional_manufacturing,procurement_driven,unknown,follower,81104,4,3,3,ROW,high_school,3,NO SALE
CRM,small,SAP,low,automotive,LOB_driven,naive,follower,43860,4,4,2,US,some_university,12,NO SALE
CRM,medium,IBM,average,tech,centralized,naive,follower,87746,2,3,5,Europe,bsc,30,NO SALE
CRM,small,IBM,average,automotive,LOB_driven,unknown,follower,132356,1,3,2,Europe,bsc,13,SALE
ERP,large,SAP,average,tech,centralized,tech_savvy,leader,73575,4,4,4,US,some_university,58,NO SALE
ERP,large,IBM,average,tech,centralized,unknown,follower,122720,2,1,5,ROW,bsc,69,SALE
CRM,small,Oracle,low,traditional_manufacturing,centralized,unknown,leader,30000,2,4,2,Europe,some_university,3,NO SALE
DSC,medium,SAP,average,automotive,centralized,unknown,follower,150000,1,2,3,ROW,high_school,21,NO SALE
ERP,medium,SAP,high,traditional_manufacturing,centralized,unknown,follower,30877,1,6,3,ROW,bsc,8,NO SALE
ERP,medium,SAP,low,traditional_manufacturing,procurement_driven,naive,follower,92639,2,4,4,US,bsc,12,SALE
ERP,small,Oracle,average,tech,centralized,tech_savvy,leader,150000,2,5,1,Europe,bsc,12,NO SALE
CRM,medium,Oracle,low,tech,LOB_driven,naive,leader,30000,1,2,5,ROW,other_graduate,13,NO SALE
ERP,medium,Oracle,high,automotive,LOB_driven,unknown,follower,150000,1,6,4,ROW,high_school,13,NO SALE
CRM,small,SAP,low,automotive,LOB_driven,unknown,leader,30000,3,3,4,Europe,mba,13,NO SALE
ERP,small,SAP,low,tech,procurement_driven,tech_savvy,follower,52964,2,4,4,Europe,high_school,10,NO SALE
DSC,large,SAP,average,tech,procurement_driven,tech_savvy,leader,108316,2,4,4,Europe,bsc,39,NO SALE
ERP,medium,IBM,average,tech,centralized,naive,follower,32353,1,1,1,Europe,mba,10,NO SALE
ERP,medium,SAP,average,healthcare,LOB_driven,unknown,follower,71409,3,2,4,Europe,bsc,14,NO SALE
CRM,medium,Oracle,low,traditional_manufacturing,LOB_driven,unknown,follower,30000,2,3,4,US,mba,57,NO SALE
ERP,medium,IBM,average,traditional_manufacturing,centralized,unknown,leader,73729,3,4,3,US,bsc,49,NO SALE
DSC,medium,IBM,average,automotive,procurement_driven,tech_savvy,leader,150000,2,4,3,US,some_university,19,NO SALE
CRM,large,SAP,average,traditional_manufacturing,LOB_driven,unknown,follower,30000,3,6,4,Europe,mba,36,NO SALE
CRM,small,IBM,average,healthcare,procurement_driven,unknown,leader,30000,4,2,2,Europe,high_school,15,NO SALE
ERP,medium,Oracle,average,tech,procurement_driven,unknown,follower,94860,5,2,5,Europe,mba,9,NO SALE
DSC,large,Oracle,high,traditional_manufacturing,procurement_driven,unknown,follower,101576,2,4,4,Europe,mba,37,NO SALE
CRM,medium,Oracle,high,automotive,LOB_driven,tech_savvy,leader,44449,4,4,5,ROW,some_university,27,NO SALE
ERP,medium,Oracle,low,traditional_manufacturing,procurement_driven,unknown,follower,85280,1,4,5,Europe,some_university,15,NO SALE
CRM,medium,IBM,low,healthcare,LOB_driven,naive,follower,52896,1,1,4,Europe,mba,19,NO SALE
DSC,medium,Oracle,average,automotive,procurement_driven,unknown,follower,150000,2,5,4,US,bsc,21,NO SALE
DSC,large,IBM,high,automotive,procurement_driven,naive,leader,82912,1,4,3,US,bsc,27,SALE
ERP,small,SAP,high,traditional_manufacturing,centralized,naive,leader,150000,1,4,3,ROW,bsc,27,NO SALE
DSC,large,SAP,high,automotive,LOB_driven,unknown,follower,100361,2,5,4,ROW,bsc,70,NO SALE
DSC,small,SAP,high,tech,procurement_driven,tech_savvy,follower,45631,2,3,4,ROW,bsc,10,NO SALE
ERP,medium,SAP,high,tech,centralized,unknown,leader,87332,2,3,2,ROW,mba,13,NO SALE
DSC,small,Oracle,high,automotive,procurement_driven,naive,follower,79545,4,4,6,Europe,bsc,7,NO SALE
CRM,medium,IBM,average,traditional_manufacturing,LOB_driven,unknown,leader,104143,3,2,4,ROW,high_school,22,NO SALE
DSC,medium,Oracle,average,traditional_manufacturing,procurement_driven,naive,follower,33244,3,3,2,ROW,other_graduate,22,NO SALE
CRM,small,Oracle,average,traditional_manufacturing,centralized,naive,follower,66801,1,3,4,US,bsc,7,NO SALE
CRM,medium,IBM,high,automotive,LOB_driven,tech_savvy,leader,121723,2,4,3,Europe,some_university,22,NO SALE
DSC,small,Oracle,average,tech,centralized,tech_savvy,follower,125714,1,3,4,Europe,some_university,19,NO SALE
ERP,medium,SAP,high,automotive,centralized,unknown,leader,129912,1,4,3,US,high_school,9,NO SALE
ERP,large,Oracle,low,traditional_manufacturing,procurement_driven,unknown,follower,150000,2,4,4,ROW,mba,44,NO SALE
CRM,medium,SAP,average,traditional_manufacturing,centralized,unknown,follower,42920,1,4,5,ROW,bsc,9,NO SALE
DSC,large,SAP,high,tech,procurement_driven,unknown,leader,150000,5,3,4,US,mba,28,NO SALE
DSC,large,SAP,high,traditional_manufacturing,procurement_driven,naive,leader,85479,1,4,3,US,mba,33,NO SALE
ERP,large,SAP,average,automotive,procurement_driven,naive,follower,150000,2,3,5,ROW,bsc,65,NO SALE
ERP,medium,Oracle,high,tech,procurement_driven,unknown,leader,150000,2,4,3,Europe,some_university,30,SALE
ERP,large,SAP,low,healthcare,centralized,unknown,follower,92959,1,3,5,Europe,mba,33,NO SALE
DSC,medium,SAP,low,traditional_manufacturing,centralized,unknown,follower,50395,1,2,2,US,bsc,51,NO SALE
ERP,medium,IBM,average,traditional_manufacturing,centralized,unknown,follower,106930,3,2,3,US,bsc,11,NO SALE
DSC,large,Oracle,high,automotive,centralized,unknown,leader,150000,1,4,4,US,bsc,34,NO SALE
CRM,small,SAP,average,traditional_manufacturing,LOB_driven,naive,follower,30000,4,2,3,ROW,bsc,6,NO SALE
ERP,medium,SAP,average,traditional_manufacturing,procurement_driven,unknown,leader,58957,2,4,3,ROW,mba,9,NO SALE
ERP,medium,SAP,average,traditional_manufacturing,procurement_driven,naive,leader,78429,2,3,6,ROW,bsc,46,NO SALE
CRM,large,IBM,average,tech,LOB_driven,unknown,follower,131572,3,3,3,US,mba,30,SALE
ERP,small,SAP,low,tech,procurement_driven,tech_savvy,follower,95798,4,3,4,Europe,high_school,3,NO SALE
ERP,medium,Oracle,average,tech,procurement_driven,tech_savvy,follower,150000,1,4,3,US,mba,35,NO SALE
ERP,medium,Oracle,average,traditional_manufacturing,procurement_driven,unknown,follower,150000,2,2,3,Europe,bsc,21,NO SALE
CRM,small,IBM,average,tech,LOB_driven,tech_savvy,follower,150000,3,4,2,ROW,some_university,7,NO SALE
ERP,large,IBM,average,healthcare,procurement_driven,naive,follower,150000,3,4,4,US,bsc,22,NO SALE
DSC,small,SAP,average,tech,LOB_driven,tech_savvy,leader,84309,3,3,5,Europe,some_university,7,NO SALE
ERP,medium,IBM,average,traditional_manufacturing,centralized,unknown,follower,42124,2,4,5,Europe,some_university,19,NO SALE
CRM,small,IBM,average,healthcare,LOB_driven,unknown,follower,30000,2,2,3,Europe,high_school,21,NO SALE
ERP,medium,Oracle,average,tech,centralized,unknown,follower,150000,2,3,4,US,high_school,29,SALE
DSC,medium,IBM,average,tech,procurement_driven,naive,leader,59468,3,4,4,ROW,mba,43,NO SALE
DSC,large,Oracle,average,automotive,procurement_driven,unknown,follower,51280,1,4,4,US,other_graduate,55,NO SALE
DSC,large,Oracle,average,traditional_manufacturing,centralized,unknown,leader,36088,2,3,5,Europe,bsc,26,NO SALE
CRM,small,SAP,average,tech,LOB_driven,tech_savvy,leader,34194,2,3,2,ROW,bsc,18,SALE
CRM,medium,SAP,average,traditional_manufacturing,LOB_driven,unknown,follower,108471,2,3,3,Europe,bsc,23,NO SALE
ERP,large,IBM,high,automotive,procurement_driven,unknown,leader,86281,1,4,3,US,some_university,90,NO SALE
DSC,large,SAP,low,traditional_manufacturing,procurement_driven,unknown,follower,102815,2,4,3,US,mba,40,NO SALE
CRM,small,SAP,average,tech,LOB_driven,tech_savvy,leader,64088,4,3,4,Europe,high_school,6,NO SALE
CRM,medium,IBM,average,tech,LOB_driven,unknown,leader,41299,1,5,4,ROW,bsc,25,NO SALE
DSC,large,Oracle,average,tech,procurement_driven,unknown,leader,30000,1,4,3,US,mba,79,NO SALE
ERP,medium,Oracle,high,automotive,centralized,naive,leader,48082,2,6,3,Europe,bsc,10,NO SALE
CRM,medium,IBM,high,automotive,LOB_driven,naive,follower,68189,5,5,4,Europe,high_school,30,NO SALE
DSC,medium,Oracle,high,automotive,procurement_driven,unknown,follower,30000,1,5,3,Europe,bsc,15,NO SALE
DSC,medium,Oracle,average,automotive,centralized,unknown,follower,30877,1,3,2,US,bsc,27,NO SALE
ERP,large,Oracle,high,tech,procurement_driven,tech_savvy,follower,150000,1,5,5,Europe,some_university,42,NO SALE
CRM,large,Oracle,average,tech,centralized,tech_savvy,leader,30000,3,4,3,US,mba,43,NO SALE
CRM,small,Oracle,average,traditional_manufacturing,LOB_driven,tech_savvy,leader,30000,2,3,3,US,bsc,14,NO SALE
ERP,large,IBM,average,automotive,centralized,unknown,follower,72075,2,2,4,Europe,bsc,34,NO SALE
CRM,small,Oracle,high,traditional_manufacturing,LOB_driven,tech_savvy,leader,48962,2,3,5,Europe,bsc,24,NO SALE
CRM,small,IBM,average,healthcare,LOB_driven,naive,follower,62443,3,4,4,Europe,high_school,25,SALE
ERP,medium,SAP,average,tech,centralized,naive,follower,30000,1,4,3,Europe,bsc,26,NO SALE
ERP,small,SAP,high,automotive,centralized,naive,follower,140038,1,3,3,Europe,bsc,5,NO SALE
CRM,small,Oracle,low,tech,LOB_driven,naive,leader,30000,2,2,5,Europe,bsc,9,NO SALE
DSC,large,SAP,average,traditional_manufacturing,centralized,unknown,follower,150000,1,4,5,Europe,mba,24,NO SALE
CRM,small,Oracle,low,tech,procurement_driven,unknown,follower,30000,1,3,5,ROW,mba,13,NO SALE
CRM,large,SAP,average,healthcare,LOB_driven,unknown,leader,116097,2,3,3,Europe,bsc,69,NO SALE
DSC,large,Oracle,average,traditional_manufacturing,procurement_driven,unknown,follower,95916,3,3,3,US,bsc,41,NO SALE
CRM,small,Oracle,average,healthcare,procurement_driven,unknown,follower,89192,1,3,2,Europe,bsc,24,NO SALE
ERP,large,SAP,average,traditional_manufacturing,centralized,unknown,leader,143610,3,5,3,ROW,bsc,25,NO SALE
ERP,medium,SAP,high,traditional_manufacturing,LOB_driven,naive,follower,54264,1,4,4,Europe,bsc,36,NO SALE
ERP,medium,SAP,low,tech,procurement_driven,tech_savvy,follower,45151,2,3,4,Europe,bsc,63,NO SALE
ERP,large,IBM,high,traditional_manufacturing,centralized,naive,follower,34086,1,4,3,ROW,mba,79,NO SALE
CRM,medium,Oracle,low,traditional_manufacturing,LOB_driven,unknown,follower,81260,2,1,3,US,bsc,26,NO SALE
DSC,small,SAP,high,automotive,procurement_driven,tech_savvy,follower,46555,3,4,5,Europe,bsc,3,NO SALE
ERP,medium,Oracle,high,automotive,centralized,tech_savvy,leader,99375,2,3,4,Europe,bsc,22,SALE
CRM,small,Oracle,average,automotive,LOB_driven,naive,leader,39922,1,3,2,ROW,bsc,12,NO SALE
CRM,small,SAP,average,tech,procurement_driven,unknown,follower,30000,2,3,3,Europe,bsc,5,NO SALE
ERP,small,SAP,average,traditional_manufacturing,centralized,unknown,follower,63690,3,3,4,ROW,bsc,5,NO SALE
DSC,large,SAP,average,automotive,procurement_driven,tech_savvy,follower,59691,4,3,5,US,bsc,53,NO SALE
ERP,large,SAP,average,traditional_manufacturing,procurement_driven,unknown,follower,109043,2,4,5,Europe,other_graduate,30,NO SALE
CRM,medium,Oracle,average,automotive,LOB_driven,naive,leader,60543,3,2,4,US,bsc,20,SALE
DSC,medium,SAP,high,automotive,centralized,unknown,follower,150000,1,5,3,US,high_school,21,NO SALE
CRM,small,IBM,average,healthcare,LOB_driven,tech_savvy,follower,30000,1,2,3,ROW,bsc,9,SALE
CRM,large,IBM,high,traditional_manufacturing,centralized,unknown,follower,150000,5,5,4,US,bsc,18,NO SALE
CRM,medium,Oracle,low,tech,LOB_driven,unknown,follower,30000,3,3,4,Europe,bsc,24,NO SALE
ERP,medium,SAP,high,tech,LOB_driven,naive,follower,150000,2,4,5,Europe,bsc,27,NO SALE
DSC,small,IBM,average,automotive,procurement_driven,tech_savvy,follower,150000,4,3,6,Europe,mba,4,SALE
ERP,medium,IBM,low,traditional_manufacturing,procurement_driven,tech_savvy,follower,93632,1,1,3,Europe,bsc,43,NO SALE
ERP,large,Oracle,average,tech,centralized,tech_savvy,follower,123853,2,2,3,ROW,mba,80,SALE
ERP,large,SAP,average,tech,centralized,unknown,follower,150000,4,4,3,US,mba,27,SALE
CRM,large,SAP,average,healthcare,LOB_driven,unknown,follower,64318,3,5,2,ROW,mba,56,NO SALE
DSC,small,IBM,low,automotive,centralized,naive,follower,91713,3,3,4,Europe,mba,11,NO SALE
CRM,medium,IBM,average,healthcare,procurement_driven,unknown,leader,30000,1,2,3,ROW,bsc,17,NO SALE
DSC,large,IBM,low,automotive,LOB_driven,naive,leader,142551,3,2,3,US,mba,26,NO SALE
ERP,large,Oracle,high,healthcare,centralized,unknown,follower,150000,2,4,4,US,bsc,33,NO SALE
CRM,medium,Oracle,average,tech,LOB_driven,tech_savvy,follower,57404,1,3,3,ROW,high_school,18,NO SALE
ERP,large,SAP,low,healthcare,centralized,unknown,leader,86815,3,3,6,Europe,mba,49,NO SALE
DSC,medium,Oracle,average,automotive,LOB_driven,naive,follower,97376,3,5,2,ROW,high_school,18,SALE
DSC,small,Oracle,average,automotive,procurement_driven,unknown,leader,45379,3,5,5,ROW,bsc,4,NO SALE
DSC,small,SAP,high,automotive,procurement_driven,naive,follower,117339,1,5,4,Europe,bsc,18,NO SALE
ERP,large,IBM,average,automotive,procurement_driven,unknown,follower,81947,4,3,4,US,other_graduate,39,NO SALE
CRM,large,Oracle,high,tech,centralized,unknown,leader,69901,3,4,5,Europe,some_university,31,NO SALE
CRM,large,SAP,average,healthcare,procurement_driven,naive,follower,150000,3,2,3,Europe,bsc,38,NO SALE
ERP,small,Oracle,average,tech,centralized,tech_savvy,follower,39938,4,4,3,Europe,bsc,2,NO SALE
CRM,medium,IBM,high,traditional_manufacturing,LOB_driven,unknown,follower,42865,4,3,3,Europe,bsc,14,NO SALE
CRM,medium,IBM,low,tech,LOB_driven,unknown,follower,30000,2,3,4,ROW,bsc,35,NO SALE
CRM,medium,IBM,low,tech,LOB_driven,naive,follower,39988,2,3,4,ROW,mba,12,NO SALE
ERP,small,Oracle,average,healthcare,centralized,unknown,follower,58368,4,3,4,Europe,bsc,10,NO SALE
DSC,large,SAP,high,automotive,procurement_driven,unknown,follower,150000,2,4,3,US,bsc,19,NO SALE
CRM,large,IBM,average,traditional_manufacturing,LOB_driven,naive,leader,150000,1,4,3,ROW,bsc,58,NO SALE
CRM,small,Oracle,low,traditional_manufacturing,centralized,unknown,leader,41556,4,1,4,Europe,mba,18,NO SALE
CRM,medium,Oracle,low,traditional_manufacturing,LOB_driven,unknown,follower,53166,2,3,2,Europe,bsc,22,NO SALE
ERP,medium,SAP,average,tech,centralized,naive,leader,150000,3,4,5,Europe,bsc,21,NO SALE
ERP,medium,SAP,average,traditional_manufacturing,centralized,unknown,follower,129993,4,4,6,ROW,mba,31,NO SALE
CRM,large,Oracle,average,tech,procurement_driven,unknown,follower,114954,1,2,4,US,bsc,50,NO SALE
CRM,medium,Oracle,average,tech,LOB_driven,naive,follower,44155,1,2,4,US,high_school,16,NO SALE
ERP,medium,SAP,average,tech,centralized,unknown,leader,96799,3,2,4,ROW,high_school,15,NO SALE
CRM,medium,SAP,average,tech,LOB_driven,unknown,leader,60814,1,3,4,ROW,mba,54,NO SALE
CRM,small,Oracle,average,traditional_manufacturing,procurement_driven,unknown,follower,30000,1,4,5,ROW,mba,4,NO SALE
ERP,medium,Oracle,average,healthcare,centralized,unknown,leader,100095,4,2,4,US,bsc,8,SALE
DSC,large,Oracle,average,tech,procurement_driven,unknown,follower,65633,2,2,5,ROW,mba,33,NO SALE
CRM,medium,IBM,high,traditional_manufacturing,LOB_driven,naive,follower,32791,2,3,4,Europe,bsc,26,SALE
ERP,large,SAP,high,traditional_manufacturing,LOB_driven,unknown,leader,119714,3,5,4,ROW,mba,30,NO SALE
ERP,small,Oracle,average,automotive,procurement_driven,tech_savvy,follower,88894,1,3,2,Europe,bsc,9,SALE
CRM,medium,IBM,average,tech,centralized,tech_savvy,leader,30000,3,3,4,Europe,bsc,79,NO SALE
DSC,medium,Oracle,average,automotive,centralized,naive,follower,78030,3,4,4,US,bsc,20,NO SALE
ERP,medium,Oracle,low,traditional_manufacturing,procurement_driven,unknown,follower,120721,2,1,3,ROW,bsc,28,NO SALE
CRM,medium,Oracle,average,tech,LOB_driven,tech_savvy,leader,94856,2,4,3,US,some_university,29,NO SALE
CRM,medium,Oracle,average,traditional_manufacturing,LOB_driven,unknown,leader,68346,2,3,3,Europe,bsc,30,SALE
CRM,small,Oracle,average,tech,centralized,naive,leader,92240,1,1,6,US,some_university,5,NO SALE
CRM,medium,Oracle,average,tech,centralized,tech_savvy,follower,44353,3,3,5,Europe,bsc,17,NO SALE
CRM,medium,SAP,high,tech,LOB_driven,tech_savvy,leader,82839,1,4,2,Europe,some_university,10,NO SALE
CRM,medium,Oracle,average,tech,LOB_driven,tech_savvy,follower,63971,1,3,2,Europe,bsc,30,NO SALE
DSC,small,SAP,average,automotive,LOB_driven,tech_savvy,follower,41417,1,2,4,Europe,bsc,4,NO SALE
ERP,large,SAP,average,healthcare,procurement_driven,naive,follower,66652,1,3,6,US,mba,24,NO SALE
ERP,large,Oracle,average,traditional_manufacturing,procurement_driven,unknown,follower,111633,2,2,3,US,some_university,30,NO SALE
CRM,small,Oracle,average,healthcare,procurement_driven,unknown,follower,43703,1,4,3,US,some_university,9,NO SALE
CRM,medium,SAP,average,tech,LOB_driven,tech_savvy,follower,30000,3,3,4,Europe,bsc,29,NO SALE
CRM,medium,Oracle,average,tech,LOB_driven,unknown,follower,127685,3,3,4,US,bsc,14,NO SALE
CRM,medium,IBM,average,tech,LOB_driven,unknown,leader,145462,2,3,4,US,bsc,13,NO SALE
ERP,medium,Oracle,average,automotive,centralized,unknown,leader,150000,2,1,3,Europe,some_university,26,NO SALE
ERP,medium,SAP,average,traditional_manufacturing,centralized,unknown,follower,38740,2,4,3,US,bsc,22,NO SALE
ERP,medium,IBM,average,tech,centralized,tech_savvy,follower,116446,2,3,3,ROW,mba,20,NO SALE
ERP,medium,SAP,low,tech,centralized,unknown,leader,150000,1,3,3,ROW,other_graduate,29,NO SALE
CRM,medium,SAP,average,tech,LOB_driven,unknown,leader,112820,4,3,3,ROW,bsc,14,NO SALE
DSC,small,IBM,low,automotive,procurement_driven,unknown,leader,83048,2,4,3,Europe,bsc,8,NO SALE
CRM,small,Oracle,average,healthcare,LOB_driven,tech_savvy,follower,30465,2,4,3,Europe,bsc,3,NO SALE
DSC,large,Oracle,high,healthcare,centralized,unknown,follower,150000,3,6,3,US,mba,41,NO SALE
CRM,medium,Oracle,average,healthcare,centralized,naive,follower,30000,1,5,4,US,bsc,20,NO SALE
ERP,medium,SAP,high,healthcare,centralized,unknown,follower,150000,1,3,4,US,bsc,48,NO SALE
DSC,medium,IBM,average,traditional_manufacturing,LOB_driven,unknown,follower,48515,1,2,2,ROW,bsc,14,NO SALE
CRM,medium,SAP,average,tech,LOB_driven,unknown,leader,30000,2,5,3,ROW,some_university,30,NO SALE
ERP,small,SAP,average,tech,LOB_driven,tech_savvy,leader,78728,3,5,2,ROW,bsc,6,NO SALE
ERP,medium,Oracle,average,traditional_manufacturing,LOB_driven,naive,follower,123947,1,2,2,Europe,bsc,31,NO SALE
DSC,large,SAP,average,automotive,LOB_driven,unknown,leader,76955,3,4,3,Europe,some_university,59,NO SALE
ERP,medium,IBM,average,tech,centralized,unknown,leader,145534,1,3,4,Europe,bsc,34,SALE
ERP,medium,IBM,high,traditional_manufacturing,procurement_driven,naive,follower,52044,3,5,3,US,bsc,17,NO SALE
CRM,medium,SAP,low,automotive,procurement_driven,tech_savvy,leader,124492,3,1,4,US,bsc,15,NO SALE
ERP,medium,Oracle,low,traditional_manufacturing,centralized,naive,follower,48874,3,3,2,US,bsc,7,NO SALE
ERP,medium,SAP,high,traditional_manufacturing,procurement_driven,unknown,follower,42422,3,3,2,ROW,bsc,30,NO SALE
DSC,large,Oracle,high,tech,centralized,tech_savvy,leader,150000,2,4,3,US,some_university,42,NO SALE
CRM,medium,IBM,low,automotive,centralized,unknown,leader,85728,2,3,3,US,bsc,21,NO SALE
DSC,large,Oracle,low,tech,procurement_driven,naive,follower,120983,1,1,5,US,mba,24,NO SALE
DSC,medium,Oracle,low,traditional_manufacturing,LOB_driven,naive,leader,149367,1,4,5,Europe,mba,25,NO SALE
DSC,large,IBM,high,tech,procurement_driven,tech_savvy,leader,45329,3,2,4,ROW,mba,32,NO SALE
DSC,small,SAP,low,automotive,procurement_driven,tech_savvy,follower,33782,2,2,3,Europe,mba,2,SALE
CRM,small,Oracle,high,healthcare,LOB_driven,naive,follower,30000,1,5,3,ROW,bsc,5,NO SALE
ERP,medium,SAP,average,tech,centralized,naive,leader,75847,2,2,4,US,mba,21,NO SALE
CRM,large,SAP,high,tech,LOB_driven,tech_savvy,follower,34148,2,5,3,ROW,mba,37,NO SALE
ERP,medium,IBM,average,traditional_manufacturing,procurement_driven,unknown,follower,133058,4,3,4,US,bsc,9,NO SALE
DSC,medium,IBM,average,automotive,procurement_driven,unknown,follower,150000,2,3,3,Europe,bsc,32,NO SALE
CRM,medium,IBM,average,traditional_manufacturing,centralized,naive,follower,93919,3,1,4,US,bsc,15,NO SALE
CRM,medium,IBM,average,tech,LOB_driven,unknown,follower,77694,3,3,4,US,other_graduate,7,NO SALE
DSC,large,Oracle,average,automotive,centralized,unknown,leader,150000,1,5,5,US,bsc,35,NO SALE
ERP,medium,Oracle,average,tech,procurement_driven,naive,follower,42863,2,4,4,Europe,bsc,42,NO SALE
CRM,small,SAP,average,traditional_manufacturing,LOB_driven,unknown,follower,30605,2,4,3,Europe,some_university,18,SALE
ERP,medium,Oracle,low,traditional_manufacturing,LOB_driven,unknown,follower,68775,2,3,3,Europe,bsc,12,NO SALE
CRM,small,IBM,high,tech,procurement_driven,tech_savvy,leader,150000,3,4,3,ROW,high_school,14,NO SALE
CRM,small,SAP,low,tech,LOB_driven,unknown,leader,76040,1,2,2,Europe,bsc,5,NO SALE
ERP,medium,Oracle,average,traditional_manufacturing,procurement_driven,unknown,follower,150000,3,4,4,US,bsc,26,NO SALE
